,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
470,118,"ГУЗ ""Клиническая больница №4""",больница,"г. Волгоград, ул. Ополченская, 40 (терапевтический корпус) ",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.795383,44.587328
471,119,"ГУЗ ""Клиническая больница №4""",больница,"г. Волгоград, ул. Ополченская, 40 (хирургический корпус) ",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.795383,44.587328
472,120,"ГБУЗ ""Волгоградская областная детская клиническая больница"" ",больница,"г.Волгоград, ул.им.Землячки, 76",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.76274610000001,44.5135361
473,121,"ГУЗ ""Деткая клиническая поликлиника № 15""",поликлиника,"г. Волгоград, пр. Ленина, 30",х,дети,0,0,1,0,0,https://zhit-vmeste.ru/map/,48.7143384,44.5271424
474,122,"ГУЗ ""Деткая клиническая поликлиника № 15""",поликлиника,"г. Волгоград, ул. Советская, 6",х,дети,1,0,1,0,0,https://zhit-vmeste.ru/map/,48.7022896,44.51404609999999
475,123,"ГБУЗ ""Николаевская ЦРБ""",больница,"г. Николаевск, ул. Октябрьская, 38 (терапевтический корпус)",х,все возрастные категории,1,1,2,2,1,https://zhit-vmeste.ru/map/,50.0244704,45.44437010000001
476,124,"ГБУЗ ""Нехаевская ЦРБ""",поликлиника,"ст-ца Нехаевская, ул.Победы д.3 (поликлиника)",х,все возрастные категории,1,1,2,1,1,https://zhit-vmeste.ru/map/,50.405938,41.76523299999999
477,125,"ГАУЗ ""Волгоградская областная клиническая стоматологическая поликлиника""",поликлиника,"г. Волгоград, ул. Коммунистическая, 31",х,все возрастные категории,0,0,0,0,0,https://zhit-vmeste.ru/map/,48.7221556,44.5294084
478,126,"ГБУЗ ""Чернышковская ЦРБ""",поликлиника,"р.п.Чернышковский ул.Советская,68 (Поликлиника)",х,все возрастные категории,1,0,0,1,0,https://zhit-vmeste.ru/map/,48.423543,42.2229494
479,127,"ГБУЗ ""Киквидзенская ЦРБ""",больница,"ст-ца Преображенская ул.Комсомольская, 62 (Больница, Поликлиника, терапевтический корпус)",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.74633859999999,43.0648632
480,128,"ГБУЗ ""Быковская ЦРБ""",поликлиника,"р.п. Быково, ул. Волжская, 50 (главный корпус, поликлиника)",х,все возрастные категории,0,0,0,0,0,https://zhit-vmeste.ru/map/,49.7600854,45.3761707
481,129,"ГБУЗ ""Волгоградский областной клинический перинатальный центр № 2""",больница,"г.Волгоград, ул.им. маршала Василевского, 70",х,"дети, взрослые трудоспособного возраста",0,0,0,0,0,https://zhit-vmeste.ru/map/,48.642867,44.416749
482,130,"ГУЗ ""Клиническая больница скорой медицинской помощи № 7""",больница,"г. Волгоград, ул. Казахская, 1 (родильный дом)",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6762441,44.4565171
483,131,"ГАУЗ ""Клиническая поликлиника № 3""",поликлиника,"г. Волгоград, ул. Новороссийская, 26",х,взрослое население,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.7171217,44.5132813
484,132,"ГБУЗ ""Жирновская ЦРБ""",больница,"г. Жирновск, ул. Строителей, 1-9 (хирургический корпус)",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.9777761,44.7822433
485,133,"ГБУЗ ""Жирновская ЦРБ""",поликлиника,"г. Жирновск, ул. Строителей, 10  (поликлиника) ",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,50.97683749999999,44.7820405
